path,reading,additional_info
images/1_せい.png,せい,2文字指定
images/2_とう.png,とう,
images/3_か.png,か,
images/4_こう.png,こう,
images/5_かい.png,かい,
images/6_ぜん.png,ぜん,
images/7_ろく.png,ろく,
images/8_ふ.png,ふ,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/9_てん.png,てん,
images/10_しょく.png,しょく,
"images/11_えい,ふん.png",えい、ふん,
"images/12_そう,す.png",そう、す,
images/13_か.png,か,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/14_り.png,り,
images/15_とう.png,とう,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
"images/16_きん,こん.png",きん、こん,
"images/17_せき,しゃく.png",せき、しゃく,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/18_ばく.png,ばく,
"images/19_そ,ぞ.png",そ、ぞ,
images/20_ほう.png,ほう,
images/21_ほつ.png,ほつ,
images/22_こう.png,こう,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/23_しん.png,しん,
images/24_い.png,い,
images/25_しょう.png,しょう,
images/26_こ.png,こ,
images/27_たい.png,たい,
"images/28_ぎょく,ほう.png",ぎょく、ほう,
images/29_きゅう.png,きゅう,
images/30_じゃく.png,じゃく,
images/31_るい.png,るい,
images/32_けい.png,けい,
images/33_うん.png,うん,
images/34_ろう.png,ろう,
images/35_ご.png,ご,
images/36_やく.png,やく,
"images/37_りゅう,りょう.png",りゅう、りょう,
"images/38_ひょう,きゅう.png",ひょう、きゅう,3文字指定
images/39_えい.png,えい,
"images/40_に,じ.png",に、じ,
images/41_びょう.png,びょう,
images/42_へつ.png,へつ,
images/43_かん.png,かん,
images/44_ぼん.png,ぼん,
"images/45_ぶ,む.png",ぶ、む,
images/46_ゆう.png,ゆう,
images/47_りょう.png,りょう,
images/48_かん.png,かん,
"images/49_さつ,き.png",さつ、き,
images/50_さ.png,さ,
images/51_い.png,い,
images/52_きょ.png,きょ,
images/53_けつ.png,けつ,
images/54_さつ.png,さつ,
images/55_ぎょう.png,ぎょう,
images/56_お.png,お,
images/57_きん.png,きん,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/58_もく.png,もく,
images/59_せき.png,せき,
images/60_どう.png,どう,
images/61_こう.png,こう,
images/62_えん.png,えん,
"images/63_りゅう,り.png",りゅう、り,
"images/64_しき,さつ.png",しき、さつ,
images/65_きょう.png,きょう,
images/66_こう.png,こう,
images/67_しん.png,しん,
images/68_こう.png,こう,
images/69_わつ.png,わつ,
images/70_しん.png,しん,
images/71_よる.png,よる,西夏文字　2文字指定(字義)
